CAN_ID,CLASS,DESIGNATOR
001,,
002,,
003,,
004,,
005,,
006,,
007,,
008,,
0A1,ValveOpen,OVBV
0A2,ValveClose,OVBV
0A3,ValveOpen,OMBV
0A4,ValveClose,OMBV
0A5,ValveOpen,OPBV
0A6,ValveClose,OPBV
0A7,ValveOpen,OFBV
0A8,ValveClose,OFBV
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
1A1,ValveOpen,FVBV
1A2,ValveClose,FVBV
1A3,ValveOpen,FMBV
1A4,ValveClose,FMBV
1A5,ValveOpen,FPBV
1A6,ValveClose,FPBV
1A7,ValveOpen,FFBV
1A8,ValveClose,FFBV
201,PressureReading,OTP
202,PressureReading,OPP
203,PressureReading,FTP
204,PressureReading,FPP
301,ThermoReading,OTT
302,ThermoReading,FTT
701,ValvePosition,OVBV
702,ValvePosition,OMBV
703,ValvePosition,OPBV
704,ValvePosition,OFBV
7A1,ValvePosition,FVBV
7A2,ValvePosition,FMBV
7A3,ValvePosition,FPBV
7A4,ValvePosition,FFBV